Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
005930,KR7005930003,삼성전자,KOSPI,,59300,2,-700,-1.17,59400,59500,59200,2662209,158009538900,354008105215000,5969782550,STK
373220,KR7373220003,LG에너지솔루션,KOSPI,,553000,2,-10000,-1.78,560000,561000,552000,58919,32772705000,129402000000000,234000000,STK
000660,KR7000660001,SK하이닉스,KOSPI,,81900,2,-2400,-2.85,82600,83000,81300,906104,74338856900,59623393693500,728002365,STK
207940,KR7207940008,삼성바이오로직스,KOSPI,,781000,1,3000,0.39,770000,785000,770000,16314,12681863000,55586894000000,71174000,STK
051910,KR7051910008,LG화학,KOSPI,,702000,2,-16000,-2.23,708000,718000,701000,45218,31918734000,49555824786000,70592343,STK
006400,KR7006400006,삼성SDI,KOSPI,,720000,2,-18000,-2.44,728000,733000,720000,71880,52102969000,49510461600000,68764530,STK
005935,KR7005931001,삼성전자우,KOSPI,,52400,2,-700,-1.32,52300,52900,52200,332688,17416910400,43119263080000,822886700,STK
005380,KR7005380001,현대차,KOSPI,,173700,2,-2300,-1.31,175200,175900,172200,110270,19161949500,36743022592200,211531506,STK
035420,KR7035420009,NAVER,KOSPI,,199900,2,-2600,-1.28,200000,202000,198800,163908,32772607200,32793412091500,164049085,STK
000270,KR7000270009,기아,KOSPI,,78200,2,-600,-0.76,78500,78900,77600,233486,18252029600,31699413735400,405363347,STK
005490,KR7005490008,POSCO홀딩스,KOSPI,,321000,2,-6000,-1.83,324500,324500,318500,159219,51116442000,27147364830000,84571230,STK
035720,KR7035720002,카카오,KOSPI,,60100,2,-700,-1.15,60600,61100,59700,588760,35537542800,26779864522800,445588428,STK
068270,KR7068270008,셀트리온,KOSPI,,154900,2,-500,-0.32,153500,156200,153500,95260,14754094600,21812939001000,140819490,STK
012330,KR7012330007,현대모비스,KOSPI,,216000,2,-2500,-1.14,216500,217500,214500,32074,6928006500,20365580304000,94285094,STK
028260,KR7028260008,삼성물산,KOSPI,,108200,2,-700,-0.64,108200,108700,108000,49083,5311605600,20221182164200,186887081,STK
105560,KR7105560007,KB금융,KOSPI,,49250,2,-1050,-2.09,49100,49400,48500,483348,23653338300,20138180599000,408897068,STK
247540,KR7247540008,에코프로비엠,KOSDAQ GLOBAL,우량기업부,204000,1,1000,0.49,210000,211500,204000,972312,201968805000,19951474176000,97801344,KSQ
066570,KR7066570003,LG전자,KOSPI,,114900,2,-2600,-2.21,116700,117300,114200,172931,19951759800,18803133828600,163647814,STK
003670,KR7003670007,포스코케미칼,KOSPI,,241500,2,-7000,-2.82,247500,250000,240500,226324,55519133500,18707367630000,77463220,STK
055550,KR7055550008,신한지주,KOSPI,,35600,2,-450,-1.25,35450,35900,35200,394941,14024744750,18112741336400,508784869,STK
096770,KR7096770003,SK이노베이션,KOSPI,,171800,2,-4300,-2.44,174400,174600,170400,110853,19127842100,15885583895200,92465564,STK
003550,KR7003550001,LG,KOSPI,,85900,2,-2400,-2.72,86200,88100,85600,141796,12272254200,13512155298700,157300993,STK
032830,KR7032830002,삼성생명,KOSPI,,65600,2,-1300,-1.94,66200,66200,65300,41729,2741290400,13120000000000,200000000,STK
034730,KR7034730002,SK,KOSPI,,168400,2,-4300,-2.49,170900,171500,168200,49493,8387117100,12486747003600,74149329,STK
086790,KR7086790003,하나금융지주,KOSPI,,41250,2,-1450,-3.4,41550,41600,40700,408544,16790367800,12206018385000,295903476,STK
033780,KR7033780008,KT&G,KOSPI,,84800,2,-600,-0.7,84600,85000,84200,48143,4067462300,11642403745600,137292497,STK
323410,KR7323410001,카카오뱅크,KOSPI,,24250,2,-150,-0.61,24050,24450,24000,371770,8991459900,11560717947250,476730637,STK
009150,KR7009150004,삼성전기,KOSPI,,151700,2,-1200,-0.78,151100,153200,151100,110118,16760215800,11331033683200,74693696,STK
034020,KR7034020008,두산에너빌리티,KOSPI,,17580,2,-230,-1.29,17700,17860,17510,1275681,22541365130,11221455220140,638308033,STK
015760,KR7015760002,한국전력,KOSPI,,17350,2,-160,-0.91,17500,17580,17310,253537,4408042080,11138076735950,641964077,STK
010130,KR7010130003,고려아연,KOSPI,,539000,2,-6000,-1.1,543000,547000,536000,9680,5227801000,10706242162000,19863158,STK
000810,KR7000810002,삼성화재,KOSPI,,215500,2,-2500,-1.15,215500,217500,213500,20806,4472333500,10209277373500,47374837,STK
017670,KR7017670001,SK텔레콤,KOSPI,,46550,1,50,0.11,46150,46550,46100,71385,3308464800,10186682853200,218833144,STK
086520,KR7086520004,에코프로,KOSDAQ,우량기업부,388500,1,27000,7.47,371000,400000,367000,953177,370688056000,10004026903500,25750391,KSQ
091990,KR7091990002,셀트리온헬스케어,KOSDAQ GLOBAL,우량기업부,62600,1,300,0.48,62100,63000,61300,224050,13977554300,9906607188600,158252511,KSQ
011200,KR7011200003,HMM,KOSPI,,20250,2,-100,-0.49,20100,20350,19940,271437,5457900040,9903049794000,489039496,STK
051900,KR7051900009,LG생활건강,KOSPI,,603000,2,-4000,-0.66,600000,609000,600000,6556,3957338000,9417772791000,15618197,STK
018260,KR7018260000,삼성에스디에스,KOSPI,,117900,2,-2200,-1.83,119000,119400,117500,23877,2826372700,9122842620000,77377800,STK
010950,KR7010950004,S-Oil,KOSPI,,79500,2,-1900,-2.33,80700,80800,79200,71776,5726654400,8950331964000,112582792,STK
036570,KR7036570000,엔씨소프트,KOSPI,,395500,2,-1000,-0.25,391000,398000,390500,21865,8611038000,8682815701000,21954022,STK
329180,KR7329180004,현대중공업,KOSPI,,96000,2,-2400,-2.44,97400,98000,95800,31225,3024270700,8522219136000,88773116,STK
003490,KR7003490000,대한항공,KOSPI,,22700,2,-450,-1.94,22900,23100,22600,241302,5493147650,8358609004700,368220661,STK
377300,KR7377300009,카카오페이,KOSPI,,62000,1,1300,2.14,60300,62700,60100,259109,16034188400,8288655318000,133687989,STK
066970,KR7066970005,엘앤에프,KOSDAQ GLOBAL,중견기업부,227500,2,-8500,-3.6,234500,236000,227000,257778,59375062500,8194166890000,36018316,KSQ
316140,KR7316140003,우리금융지주,KOSPI,,11180,2,-220,-1.93,11250,11260,11060,591470,6593464420,8139716937820,728060549,STK
259960,KR7259960003,크래프톤,KOSPI,,163400,2,-100,-0.06,162200,164500,162000,23812,3882739900,8045373186000,49237290,STK
009830,KR7009830001,한화솔루션,KOSPI,,41600,0,0,0.0,0,0,0,0,0,7957185475200,191278497,STK
024110,KR7024110009,기업은행,KOSPI,,9720,2,-170,-1.72,9840,9850,9700,222675,2170206360,7750979446680,797425869,STK
030200,KR7030200000,KT,KOSPI,,29350,2,-400,-1.34,29650,29650,29150,244737,7180599600,7663631564800,261111808,STK
011170,KR7011170008,롯데케미칼,KOSPI,,176400,2,-1300,-0.73,176000,177900,176000,15076,2666965200,7545583911600,42775419,STK
090430,KR7090430000,아모레퍼시픽,KOSPI,,128800,2,-2000,-1.53,130100,130200,128600,51264,6629146000,7533867359200,58492759,STK
352820,KR7352820005,하이브,KOSPI,,180700,2,-8900,-4.69,187700,189300,180300,78734,14473953200,7472557030900,41353387,STK
138040,KR7138040001,메리츠금융지주,KOSPI,,41050,2,-1650,-3.86,41850,42200,40800,227199,9356799600,7152747808500,174244770,STK
011070,KR7011070000,LG이노텍,KOSPI,,261500,2,-6500,-2.43,268000,268000,260500,38331,10113790000,6188948480500,23667107,STK
086280,KR7086280005,현대글로비스,KOSPI,,153000,2,-2800,-1.8,154200,154600,151800,34561,5288253300,5737500000000,37500000,STK
028050,KR7028050003,삼성엔지니어링,KOSPI,,28950,2,-500,-1.7,29550,29850,28450,806838,23435772950,5674200000000,196000000,STK
302440,KR7302440003,SK바이오사이언스,KOSPI,,70200,1,1100,1.59,69000,71000,68600,80740,5656199900,5390240029200,76784046,STK
402340,KR7402340004,SK스퀘어,KOSPI,,37650,2,-600,-1.57,37850,38000,37450,82529,3111853250,5326254048150,141467571,STK
005830,KR7005830005,DB손해보험,KOSPI,,75200,2,-1900,-2.46,75700,77000,74400,30152,2268845900,5324160000000,70800000,STK
034220,KR7034220004,LG디스플레이,KOSPI,,14770,2,-220,-1.47,14720,14950,14670,189373,2788863180,5284937889000,357815700,STK
009540,KR7009540006,한국조선해양,KOSPI,,74300,2,-900,-1.2,74600,75000,73800,46986,3492378500,5258442518800,70773116,STK
383220,KR7383220001,F&F,KOSPI,,134200,2,-5800,-4.14,137500,139900,133400,34172,4648104400,5140809465000,38307075,STK
088980,KR7088980008,맥쿼리인프라,KOSPI,,12630,1,20,0.16,12610,12690,12540,144645,1827328100,5113199258610,404845547,STK
271560,KR7271560005,오리온,KOSPI,,127500,1,500,0.39,125400,127700,125400,11656,1479793100,5040856830000,39536132,STK
012450,KR7012450003,한화에어로스페이스,KOSPI,,96700,1,1100,1.15,96000,97600,95700,159521,15415405500,4895921000000,50630000,STK
251270,KR7251270005,넷마블,KOSPI,,56500,1,600,1.07,54700,58000,54600,99895,5687914400,4856372863000,85953502,STK
326030,KR7326030004,SK바이오팜,KOSPI,,60800,2,-500,-0.82,60900,61500,60300,21445,1304642400,4761445600000,78313250,STK
032640,KR7032640005,LG유플러스,KOSPI,,10730,2,-140,-1.29,10800,10860,10710,163225,1758560920,4684839903530,436611361,STK
018880,KR7018880005,한온시스템,KOSPI,,8610,2,-300,-3.37,8810,8900,8540,227163,1971626920,4596018000000,533800000,STK
097950,KR7097950000,CJ제일제당,KOSPI,,303000,2,-6500,-2.1,305000,305500,299500,24304,7335232000,4561418358000,15054186,STK
361610,KR7361610009,SK아이이테크놀로지,KOSPI,,63200,2,-1200,-1.86,63600,64200,63000,42622,2708501800,4506007814400,71297592,STK
004020,KR7004020004,현대제철,KOSPI,,33350,2,-1050,-3.05,34000,34000,33100,110687,3697637050,4450416929750,133445785,STK
267250,KR7267250009,HD현대,KOSPI,,56200,2,-1300,-2.26,57000,57500,55800,39192,2200679400,4439411377000,78993085,STK
011780,KR7011780004,금호석유,KOSPI,,149200,2,-2400,-1.58,149900,150800,149000,11739,1756748400,4373695350400,29314312,STK
010140,KR7010140002,삼성중공업,KOSPI,,4940,2,-110,-2.18,5000,5030,4930,1375441,6818812150,4347200000000,880000000,STK
161390,KR7161390000,한국타이어앤테크놀로지,KOSPI,,34100,2,-400,-1.16,33800,34700,33700,160841,5500774150,4224139852900,123875069,STK
028300,KR7028300002,HLB,KOSDAQ,중견기업부,35350,2,-250,-0.7,35250,36000,35000,242509,8599221150,4152637639150,117472069,KSQ
047810,KR7047810007,한국항공우주,KOSPI,,42400,2,-650,-1.51,42800,43050,42350,110198,4702013350,4132944536800,97475107,STK
008560,KR7008560005,메리츠증권,KOSPI,,6480,2,-250,-3.71,6590,6660,6440,343887,2234529940,3985462951920,615040579,STK
000720,KR7000720003,현대건설,KOSPI,,35400,2,-800,-2.21,36000,36000,35200,102525,3635781550,3941994081000,111355765,STK
006800,KR7006800007,미래에셋증권,KOSPI,,6510,2,-250,-3.7,6680,6690,6480,229247,1504302630,3940609816080,605316408,STK
000100,KR7000100008,유한양행,KOSPI,,51000,3,0,0.0,50800,51000,50300,33727,1706466500,3908571507000,76638657,STK
