Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
005930,KR7005930003,삼성전자,KOSPI,,61500,1,1000,1.65,61100,61600,60800,13630602,835007952600,367141626825000,5969782550,STK
373220,KR7373220003,LG에너지솔루션,KOSPI,,547000,1,9000,1.67,545000,547000,533000,418951,226937278000,127998000000000,234000000,STK
000660,KR7000660001,SK하이닉스,KOSPI,,89700,1,2400,2.75,87900,89800,87500,2374415,211094486100,65301812140500,728002365,STK
207940,KR7207940008,삼성바이오로직스,KOSPI,,801000,1,13000,1.65,791000,804000,791000,73227,58490953337,57010374000000,71174000,STK
006400,KR7006400006,삼성SDI,KOSPI,,781000,1,50000,6.84,748000,781000,743000,754225,575119030000,53705097930000,68764530,STK
051910,KR7051910008,LG화학,KOSPI,,726000,1,23000,3.27,722000,727000,711000,274209,197526153000,51250041018000,70592343,STK
005935,KR7005931001,삼성전자우,KOSPI,,54700,1,1000,1.86,53900,54700,53500,1062801,57611859200,45011902490000,822886700,STK
005380,KR7005380001,현대차,KOSPI,,177500,1,1400,0.8,177800,178500,176000,547005,97017090400,37546842315000,211531506,STK
035420,KR7035420009,NAVER,KOSPI,,214500,1,9000,4.38,208500,214500,208500,1052243,223127585500,35188528732500,164049085,STK
000270,KR7000270009,기아,KOSPI,,78500,1,300,0.38,78800,79300,77500,1204893,94549161000,31821022739500,405363347,STK
035720,KR7035720002,카카오,KOSPI,,63600,1,2600,4.26,61200,63800,61100,2768767,174494079400,28334704710000,445514225,STK
005490,KR7005490008,POSCO홀딩스,KOSPI,,329500,2,-2500,-0.75,334000,335000,321000,1270453,415450578000,27866220285000,84571230,STK
068270,KR7068270008,셀트리온,KOSPI,,151800,1,1200,0.8,152900,154000,149100,791350,120095701300,21376398582000,140819490,STK
247540,KR7247540008,에코프로비엠,KOSDAQ GLOBAL,우량기업부,217000,1,34900,19.17,199800,217000,192500,8059503,1674036597800,21222891648000,97801344,KSQ
028260,KR7028260008,삼성물산,KOSPI,,112000,1,1600,1.45,110800,112300,110600,262294,29259426500,20931353072000,186887081,STK
012330,KR7012330007,현대모비스,KOSPI,,219000,1,2500,1.15,218000,220000,216500,189047,41347870500,20648435586000,94285094,STK
105560,KR7105560007,KB금융,KOSPI,,50200,1,200,0.4,50600,50600,49800,1162559,58473778965,20526632813600,408897068,STK
055550,KR7055550008,신한지주,KOSPI,,37050,3,0,0.0,37150,37400,36600,1613174,59781479300,18850479396450,508784869,STK
066570,KR7066570003,LG전자,KOSPI,,114500,1,3700,3.34,112000,115500,111100,964347,110004748700,18737674703000,163647814,STK
003670,KR7003670007,포스코케미칼,KOSPI,,234500,1,5500,2.4,235500,238000,229000,1425840,331936786000,18165125090000,77463220,STK
096770,KR7096770003,SK이노베이션,KOSPI,,168000,1,7200,4.48,162900,169000,159300,1168104,191937850000,15534214752000,92465564,STK
034730,KR7034730002,SK,KOSPI,,184400,1,2600,1.43,183300,184600,182100,129870,23811867100,13673136267600,74149329,STK
032830,KR7032830002,삼성생명,KOSPI,,67300,1,400,0.6,67200,67400,66400,196069,13146106800,13460000000000,200000000,STK
003550,KR7003550001,LG,KOSPI,,83400,1,300,0.36,84100,84200,82900,195499,16326761200,13118902816200,157300993,STK
086790,KR7086790003,하나금융지주,KOSPI,,43450,2,-550,-1.25,43650,44000,43050,1624588,70478552950,12857006032200,295903476,STK
323410,KR7323410001,카카오뱅크,KOSPI,,26600,1,300,1.14,26500,26800,26200,1783482,47369897650,12681034944200,476730637,STK
033780,KR7033780008,KT&G,KOSPI,,87000,2,-200,-0.23,87400,87900,87000,307631,26843638500,11944447239000,137292497,STK
010130,KR7010130003,고려아연,KOSPI,,583000,2,-8000,-1.35,595000,595000,578000,67570,39418379000,11580221114000,19863158,STK
015760,KR7015760002,한국전력,KOSPI,,18020,1,150,0.84,17870,18150,17810,1146143,20657329460,11568192667540,641964077,STK
009150,KR7009150004,삼성전기,KOSPI,,152900,1,6000,4.08,147500,153000,145900,646136,97627747200,11420666118400,74693696,STK
011200,KR7011200003,HMM,KOSPI,,22050,2,-400,-1.78,22200,22400,21650,1789766,39420596000,10783320886800,489039496,STK
034020,KR7034020008,두산에너빌리티,KOSPI,,16890,1,170,1.02,16700,16980,16600,5199228,87496399210,10781022677370,638308033,STK
051900,KR7051900009,LG생활건강,KOSPI,,671000,2,-5000,-0.74,685000,694000,670000,73824,50012748000,10479810187000,15618197,STK
000810,KR7000810002,삼성화재,KOSPI,,215500,1,4500,2.13,212500,217000,212000,66702,14371822500,10209277373500,47374837,STK
017670,KR7017670001,SK텔레콤,KOSPI,,46250,1,650,1.43,45550,46450,45400,704072,32433172000,10121032910000,218833144,STK
018260,KR7018260000,삼성에스디에스,KOSPI,,125400,1,1800,1.46,124500,125400,123800,103302,12877222600,9703176120000,77377800,STK
036570,KR7036570000,엔씨소프트,KOSPI,,434500,1,12000,2.84,428500,444000,428000,151453,65916101500,9539022559000,21954022,STK
010950,KR7010950004,S-Oil,KOSPI,,83200,1,900,1.09,83000,83600,82100,267302,22183193300,9366888294400,112582792,STK
066970,KR7066970005,엘앤에프,KOSDAQ GLOBAL,중견기업부,258000,2,-500,-0.19,267000,269000,255000,1412142,366743487000,9292725528000,36018316,KSQ
091990,KR7091990002,셀트리온헬스케어,KOSDAQ GLOBAL,우량기업부,58300,1,600,1.04,58700,59000,56600,1043824,60604422900,9226121391300,158252511,KSQ
329180,KR7329180004,현대중공업,KOSPI,,102100,2,-2100,-2.02,104800,105300,101300,407037,41808288000,9063735143600,88773116,STK
003490,KR7003490000,대한항공,KOSPI,,23700,1,300,1.28,23650,23700,23450,1139727,26909385200,8726829665700,368220661,STK
259960,KR7259960003,크래프톤,KOSPI,,173500,1,3700,2.18,171000,173500,170200,122698,21137174300,8542669815000,49237290,STK
316140,KR7316140003,우리금융지주,KOSPI,,11690,2,-20,-0.17,11720,11860,11640,2968575,34811894544,8511027817810,728060549,STK
090430,KR7090430000,아모레퍼시픽,KOSPI,,144000,2,-1700,-1.17,147100,147200,142800,176960,25535278100,8422957296000,58492759,STK
377300,KR7377300009,카카오페이,KOSPI,,63000,1,1500,2.44,62300,63500,61800,637181,40043013900,8421916545000,133681215,STK
024110,KR7024110009,기업은행,KOSPI,,10230,1,60,0.59,10190,10330,10180,1214537,12443516110,8157666639870,797425869,STK
086520,KR7086520004,에코프로,KOSDAQ,우량기업부,309500,1,10000,3.34,314000,318000,300500,1447565,450088816000,7969746014500,25750391,KSQ
030200,KR7030200000,KT,KOSPI,,30500,1,50,0.16,30450,30650,30200,935924,28537259900,7963910144000,261111808,STK
009830,KR7009830001,한화솔루션,KOSPI,,41600,0,0,0.0,0,0,0,0,0,7957185475200,191278497,STK
352820,KR7352820005,하이브,KOSPI,,191800,1,4400,2.35,194200,195900,189400,354913,68264205900,7931579626600,41353387,STK
011170,KR7011170008,롯데케미칼,KOSPI,,183400,2,-4100,-2.19,189300,189400,183300,127952,23612865100,7845011844600,42775419,STK
138040,KR7138040001,메리츠금융지주,KOSPI,,41400,2,-350,-0.84,41700,42250,41050,430082,17935450900,7213733478000,174244770,STK
011070,KR7011070000,LG이노텍,KOSPI,,281500,1,11000,4.07,274000,282500,271000,353560,98241417500,6662290620500,23667107,STK
086280,KR7086280005,현대글로비스,KOSPI,,160800,1,300,0.19,161700,161700,159900,91193,14643440300,6030000000000,37500000,STK
402340,KR7402340004,SK스퀘어,KOSPI,,40850,1,700,1.74,40450,41300,40000,686767,28035653400,5778950275350,141467571,STK
009540,KR7009540006,한국조선해양,KOSPI,,80500,2,-200,-0.25,81000,81700,79800,298141,23972148100,5697235838000,70773116,STK
034220,KR7034220004,LG디스플레이,KOSPI,,15420,1,270,1.78,15330,15530,15080,1420565,21775010440,5517518094000,357815700,STK
383220,KR7383220001,F&F,KOSPI,,144000,1,1400,0.98,142800,147700,142400,128436,18651078400,5516218800000,38307075,STK
302440,KR7302440003,SK바이오사이언스,KOSPI,,71700,1,100,0.14,71800,72200,71100,166928,11955300100,5505416098200,76784046,STK
005830,KR7005830005,DB손해보험,KOSPI,,75300,2,-700,-0.92,77000,77200,74900,217868,16457488731,5331240000000,70800000,STK
028050,KR7028050003,삼성엔지니어링,KOSPI,,26950,2,-100,-0.37,27300,27550,26850,725302,19624723600,5282200000000,196000000,STK
251270,KR7251270005,넷마블,KOSPI,,61200,1,800,1.32,60900,62200,60400,168153,10334568900,5260354322400,85953502,STK
088980,KR7088980008,맥쿼리인프라,KOSPI,,12770,1,130,1.03,12670,12790,12670,841114,10717606340,5169877635190,404845547,STK
326030,KR7326030004,SK바이오팜,KOSPI,,65400,2,-500,-0.76,66000,66300,65000,91874,6015554800,5121686550000,78313250,STK
018880,KR7018880005,한온시스템,KOSPI,,9540,1,370,4.03,9290,9580,9270,1116345,10566953500,5092452000000,533800000,STK
271560,KR7271560005,오리온,KOSPI,,124800,2,-400,-0.32,125900,126100,124500,74525,9326284500,4934109273600,39536132,STK
012450,KR7012450003,한화에어로스페이스,KOSPI,,96400,1,2700,2.88,94200,97900,94100,727745,70158027800,4880732000000,50630000,STK
361610,KR7361610009,SK아이이테크놀로지,KOSPI,,68300,2,-500,-0.73,69700,69900,66700,663233,45013901600,4869625533600,71297592,STK
032640,KR7032640005,LG유플러스,KOSPI,,11070,1,60,0.54,11060,11100,10960,797680,8813899700,4833287766270,436611361,STK
097950,KR7097950000,CJ제일제당,KOSPI,,320500,2,-2000,-0.62,324000,326000,319000,46973,15076813000,4824866613000,15054186,STK
004020,KR7004020004,현대제철,KOSPI,,35800,2,-2300,-6.04,37450,37650,35700,1150926,41491547750,4777359103000,133445785,STK
010140,KR7010140002,삼성중공업,KOSPI,,5380,2,-20,-0.37,5420,5450,5350,4331704,23299622850,4734400000000,880000000,STK
161390,KR7161390000,한국타이어앤테크놀로지,KOSPI,,37850,2,-300,-0.79,38600,38600,37750,171081,6500664200,4688671361650,123875069,STK
011780,KR7011780004,금호석유,KOSPI,,159100,2,-3800,-2.33,163500,163500,157700,126976,20238774200,4663907039200,29314312,STK
267250,KR7267250009,HD현대,KOSPI,,58800,1,300,0.51,58500,59200,58000,202758,11884541350,4644793398000,78993085,STK
047810,KR7047810007,한국항공우주,KOSPI,,45500,1,400,0.89,45200,45750,44950,650649,29540388100,4435117368500,97475107,STK
006800,KR7006800007,미래에셋증권,KOSPI,,7180,1,260,3.76,6970,7240,6870,1303339,9302477040,4417971809440,615316408,STK
035250,KR7035250000,강원랜드,KOSPI,,19600,2,-150,-0.76,19800,19850,19560,1311405,25761095670,4193233800000,213940500,STK
011790,KR7011790003,SKC,KOSPI,,110300,2,-2000,-1.78,114100,114900,109200,613865,68251054600,4176873269400,37868298,STK
000720,KR7000720003,현대건설,KOSPI,,36550,2,-250,-0.68,37050,37150,36300,372636,13639649550,4070053210750,111355765,STK
000100,KR7000100008,유한양행,KOSPI,,53000,1,400,0.76,52600,53200,52300,175238,9264756600,4061848821000,76638657,STK
008560,KR7008560005,메리츠증권,KOSPI,,6560,2,-20,-0.3,6600,6670,6490,932658,6149956620,4034666198240,615040579,STK
047050,KR7047050000,포스코인터내셔널,KOSPI,,22600,2,-250,-1.09,23050,23050,22500,606625,13717594550,3975855008800,175922788,STK
021240,KR7021240007,코웨이,KOSPI,,53400,1,200,0.38,53300,53800,52900,211054,11260247800,3940899654600,73799619,STK
241560,KR7241560002,두산밥캣,KOSPI,,39200,2,-400,-1.01,39600,39600,38400,217773,8479376600,3929767307200,100249166,STK
293490,KR7293490009,카카오게임즈,KOSDAQ GLOBAL,우량기업부,46900,2,-600,-1.26,47900,47950,46600,631935,29715572500,3859812969600,82298784,KSQ
078930,KR7078930005,GS,KOSPI,,40700,1,200,0.49,40600,41000,40400,175001,7126724700,3781655884600,92915378,STK
028300,KR7028300002,HLB,KOSDAQ,중견기업부,31550,2,-550,-1.71,32100,32200,31200,765161,24127318150,3674498797950,116465889,KSQ
029780,KR7029780004,삼성카드,KOSPI,,30300,1,50,0.17,30450,30450,30250,56908,1726535150,3510524397300,115858891,STK
005387,KR7005382007,현대차2우B,KOSPI,,94500,1,1500,1.61,94000,95000,93500,64872,6118705200,3413396416500,36120597,STK
028670,KR7028670008,팬오션,KOSPI,,6370,2,-210,-3.19,6640,6640,6330,3249658,20822915320,3405207791440,534569512,STK
